※プランに入れたら緑、発売したらグレー
新商品案		概要・仕様	想定ターゲット\nと使用シーン	デザイン自由度	参考商品1	参考商品2	購買意欲\n・ニーズ	ターゲット規模	競合\n優位性	高単価化\nしやすさ	通年性	ライフイベントとの相性	総合点\n（ウェイト付き）	総合点コピペ	ランク	エリア候補1	エリア候補2	生産方法があるか\n※SS～Aランクだけ人力で評価する。
温泉バッグ				5点：Web deco	https://store.shopping.yahoo.co.jp/pacificsign/ky-mbm2.html?sc_i=shp_sp_store-item_lemstr		4	6	3	4	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
ブックカバー				5点：Web deco			4	6	3	4	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
アイマスク				5点：Web deco			4	6	3	4	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
ボクサーパンツ、ブリーフ、トランクス				5点：Web deco			4	6	3	4	8	3	47	47	C			1：新設備が必要or外注のみ
オーガニック素材のタオル				5点：Web deco			4	6	3	4	8	3	47	47	C	アイロン一般		1：新設備が必要or外注のみ
ガラスコップ				5点：Web deco			4	6	3	4	8	3	47	47	C	その他・不明・未定		1：新設備が必要or外注のみ
布団カバー・ベッドカバー				5点：Web deco			4	6	3	4	8	3	47	47	C			1：新設備が必要or外注のみ
折りたたみ傘				5点：Web deco	https://x.gd/qX3yW		4	6	3	4	8	3	47	47	C			1：新設備が必要or外注のみ
スリッパ				5点：Web deco			4	6	3	4	8	3	47	47	C	その他・不明・未定		1：新設備が必要or外注のみ
パジャマ				5点：Web deco			4	6	3	4	8	3	47	47	C			1：新設備が必要or外注のみ
ショートパンツ（トレーニングショーツ）				5点：Web deco			4	6	3	4	8	3	47	47	C	アイロン一般		1：新設備が必要or外注のみ
ノートパソコンカバー				5点：Web deco			4	6	3	4	8	3	47	47	C	その他・不明・未定		1：新設備が必要or外注のみ
ゴルフドライバー用スキンシール				5点：Web deco			5	4	3	4	8	4	46	46	C			4：既存資材で作成可能（新しい作成方法あり）
カジノチップ ゴルフマーカー		競合とデザイン差は出ない		3点：名入れ・画像カスタマイズ			5	4	3	4	8	4	46	46	C			2：新規資材が必要（設備の調整や治具の必要あり）
ゴルフシューズバッグ				5点：Web deco			5	4	3	4	8	4	46	46	C			2：新規資材が必要（設備の調整や治具の必要あり）
ゴルフ スコアカードホルダー				5点：Web deco			5	4	3	4	8	4	46	46	C			2：新規資材が必要（設備の調整や治具の必要あり）
アンドロイド スマホスキンシール				5点：Web deco			4	6	3	3	8	3	46	46	C			5：既存資材で作成可能（新しい作成方法なし）
枕カバー		全面プリント		5点：Web deco			4	6	3	3	8	3	46	46	C	アイロン縫製		4：既存資材で作成可能（新しい作成方法あり）
Macbookスキンシール				5点：Web deco			4	6	3	3	8	3	46	46	C	アイコス		4：既存資材で作成可能（新しい作成方法あり）
ボトル用ラベルシール（洗剤、調味料、旅行用ボトル）				5点：Web deco			4	6	3	3	8	3	46	46	C			4：既存資材で作成可能（新しい作成方法あり）
車用スマホホルダー				5点：Web deco			4	6	3	3	8	3	46	46	C			4：既存資材で作成可能（新しい作成方法あり）
珪藻土コースター				5点：Web deco	https://x.gd/saCvN		4	6	3	3	8	3	46	46	C			3：新規資材が必要（設備の調整や治具の必要なし）
ヘッドフォン		スキンシール貼る		5点：Web deco			4	6	3	3	8	3	46	46	C			3：新規資材が必要（設備の調整や治具の必要なし）
テッシュケース、ポケットティッシュケース、ウェットワイプケース				5点：Web deco	https://www.tena.co.jp/familycarer/products/cleansing-wipes-and-creams/tena-proskin-wet-wipe-plastic-lid		4	6	3	3	8	3	46	46	C			2：新規資材が必要（設備の調整や治具の必要あり）
男性用パンツ(ブリーフ、トランクス)				5点：Web deco			4	6	3	3	8	3	46	46	C			2：新規資材が必要（設備の調整や治具の必要あり）
カップホルダー				5点：Web deco			4	6	3	3	8	3	46	46	C			2：新規資材が必要（設備の調整や治具の必要あり）
スープボトル		真空断熱		5点：Web deco			4	6	3	3	8	3	46	46	C	アイコス	UV一般	2：新規資材が必要（設備の調整や治具の必要あり）
ビニール傘				5点：Web deco			4	6	3	3	8	3	46	46	C			1：新設備が必要or外注のみ
ラバーコースター				5点：Web deco			4	6	3	3	8	3	46	46	C			1：新設備が必要or外注のみ
カレンダー（布、紙、刺繍、日めくり）				5点：Web deco			4	6	3	4	7	3	46	46	C	その他・不明・未定		1：新設備が必要or外注のみ
スケジュール帳				5点：Web deco			4	6	3	4	7	3	46	46	C	その他・不明・未定		1：新設備が必要or外注のみ
サンダル				5点：Web deco			4	6	3	4	7	3	46	46	C			1：新設備が必要or外注のみ
ネクタイピン				5点：Web deco			4	5	3	5	8	4	46	46	C			2：新規資材が必要（設備の調整や治具の必要あり）
ネクタイ				5点：Web deco			4	5	3	5	8	4	46	46	C			2：新規資材が必要（設備の調整や治具の必要あり）
ゴルフチップマーカー					https://giftmall.co.jp/gifttXTc9w/	　	5	4	3	4	7	4	45	45	C			2：新規資材が必要（設備の調整や治具の必要あり）
毛布				5点：Web deco			4	6	3	3	7	3	45	45	C			1：新設備が必要or外注のみ
地図型ピースのパズル				2点：既成デザイン			4	5	3	4	8	4	45	45	C			4：既存資材で作成可能（新しい作成方法あり）
キャンドルホルダー				5点：Web deco			4	5	3	4	8	4	45	45	C			2：新規資材が必要（設備の調整や治具の必要あり）
刺繍キット（オリジナルデザインにできる）				5点：Web deco			4	5	3	4	8	4	45	45	C			2：新規資材が必要（設備の調整や治具の必要あり）
ガーランド				5点：Web deco			4	5	3	4	8	4	45	45	C			1：新設備が必要or外注のみ
ペットボトルクーラー/カバー				5点：Web deco			4	5	3	4	8	4	45	45	C	アイロン縫製		1：新設備が必要or外注のみ
車ワイパーステッカー				2点：既成デザイン	https://item.rakuten.co.jp/cosmevivi/car-082/		4	5	3	3	8	4	45	45	C	アイコス		5：既存資材で作成可能（新しい作成方法なし）
アイロンビーズセット				2点：既成デザイン			4	5	3	3	8	4	45	45	C			3：新規資材が必要（設備の調整や治具の必要なし）
コインケース		革・高品質	ギフト・実用	5点：Web deco			4	5	3	5	8	3	45	45	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
スカーフ、ストール				5点：Web deco			4	5	3	5	8	3	45	45	C			2：新規資材が必要（設備の調整や治具の必要あり）
ティーポット、ティーセット、コーヒー、抹茶				5点：Web deco			4	5	3	5	8	3	45	45	C			1：新設備が必要or外注のみ
ガウン		刺繍		5点：Web deco			4	5	3	5	8	3	45	45	C			1：新設備が必要or外注のみ
デカンタとグラスのセット				5点：Web deco			4	5	3	5	8	3	45	45	C			1：新設備が必要or外注のみ
オリジナルプリントリボン				2点：既成デザイン			4	5	3	3	8	4	45	45	C			1：新設備が必要or外注のみ
のれん				5点：Web deco			4	5	3	4	8	3	44	44	C	アイロン縫製		4：既存資材で作成可能（新しい作成方法あり）
ドアノブプレート				5点：Web deco			4	5	3	4	8	3	44	44	C			4：既存資材で作成可能（新しい作成方法あり）
USB				5点：Web deco			4	5	3	4	8	3	44	44	C			4：既存資材で作成可能（新しい作成方法あり）
パソコンのアクリルモニターメモボード				5点：Web deco			4	5	3	4	8	3	44	44	C			3：新規資材が必要（設備の調整や治具の必要なし）
ポータブルブックライト		スキンシール貼る	読書用など	5点：Web deco			4	5	3	4	8	3	44	44	C			3：新規資材が必要（設備の調整や治具の必要なし）
ゆのみ				5点：Web deco			4	5	3	4	8	3	44	44	C			2：新規資材が必要（設備の調整や治具の必要あり）
アクセサリースタンド				5点：Web deco			4	5	3	4	8	3	44	44	C			2：新規資材が必要（設備の調整や治具の必要あり）
風呂敷				5点：Web deco			4	5	3	4	8	3	44	44	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
かぶるエプロン（フルエプロン）				5点：Web deco			4	5	3	4	8	3	44	44	C			2：新規資材が必要（設備の調整や治具の必要あり）
鍋敷き（木、キルティング？）				5点：Web deco			4	5	3	4	8	3	44	44	C			2：新規資材が必要（設備の調整や治具の必要あり）
健康管理ノート（オリジナル表紙）				5点：Web deco			4	5	3	4	8	3	44	44	C			2：新規資材が必要（設備の調整や治具の必要あり）
ネックピロー（カバー）				5点：Web deco			4	5	3	4	8	3	44	44	C			2：新規資材が必要（設備の調整や治具の必要あり）
ブックスタンド		アクリル・木製		5点：Web deco			4	5	3	4	8	3	44	44	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
カーマット				5点：Web deco			4	5	3	4	8	3	44	44	C			2：新規資材が必要（設備の調整や治具の必要あり）
ヨギボーサイズ枕カバー				5点：Web deco			4	5	3	4	8	3	44	44	C			1：新設備が必要or外注のみ
鍋つかみ				5点：Web deco			4	5	3	4	8	3	44	44	C			1：新設備が必要or外注のみ
カー用品　シートポケット				5点：Web deco			4	5	3	4	8	3	44	44	C			1：新設備が必要or外注のみ
歯ブラシスタンド				5点：Web deco			4	5	3	4	8	3	44	44	C			1：新設備が必要or外注のみ
花時計				2点：既成デザイン			4	5	3	4	8	3	44	44	C			1：新設備が必要or外注のみ
カーシェイド				5点：Web deco			4	5	3	4	8	3	44	44	C			1：新設備が必要or外注のみ
寿司ネタマグネット				2点：既成デザイン	https://x.gd/ox4GF		4	5	3	4	8	3	44	44	C			1：新設備が必要or外注のみ
車　座席シートカバー				5点：Web deco			4	5	3	4	8	3	44	44	C			1：新設備が必要or外注のみ
車　ハンドルカバー				5点：Web deco			4	5	3	4	8	3	44	44	C			1：新設備が必要or外注のみ
アウトドア・キャンプ用品(テント、折りたたみチェア、テーブル、カトラリー・食器セットなど)				5点：Web deco			4	5	3	4	8	3	44	44	C			1：新設備が必要or外注のみ
パソコンクッション				5点：Web deco			4	5	3	4	8	3	44	44	C			1：新設備が必要or外注のみ
エルゴノミックマウスパッド（手首を保護するマウスパッド）				5点：Web deco			4	5	3	4	8	3	44	44	C			1：新設備が必要or外注のみ
アトマイザーシール				5点：Web deco			4	5	3	3	8	3	44	44	C			4：既存資材で作成可能（新しい作成方法あり）
スピーカー スキンシール\n（音楽系/ミライスピーカーとか老人系）				5点：Web deco			4	5	3	3	8	3	44	44	C			4：既存資材で作成可能（新しい作成方法あり）
surfaceスキンシール				5点：Web deco			4	5	3	3	8	3	44	44	C			4：既存資材で作成可能（新しい作成方法あり）
ポータブルマッサージガン（スキンシール）				5点：Web deco			4	5	3	3	8	3	44	44	C			4：既存資材で作成可能（新しい作成方法あり）
apple pencil スキンシール				5点：Web deco			4	5	3	3	8	3	44	44	C			4：既存資材で作成可能（新しい作成方法あり）
iPadキーボード スキンシール				5点：Web deco			4	5	3	3	8	3	44	44	C			4：既存資材で作成可能（新しい作成方法あり）
自転車パーツに貼るシール				2点：既成デザイン			4	5	3	3	8	3	44	44	C			4：既存資材で作成可能（新しい作成方法あり）
電気スイッチカバー、コンセントカバー、スキンシール				5点：Web deco			4	5	3	3	8	3	44	44	C			4：既存資材で作成可能（新しい作成方法あり）
カメラ(キャップとか)用スキンシール				5点：Web deco			4	5	3	3	8	3	44	44	C			4：既存資材で作成可能（新しい作成方法あり）
家電用スキンシール（テレビ、ルンバ）				5点：Web deco			4	5	3	3	8	3	44	44	C			4：既存資材で作成可能（新しい作成方法あり）
歩数計・血圧計（スキンシール）				5点：Web deco			4	5	3	3	8	3	44	44	C			4：既存資材で作成可能（新しい作成方法あり）
階段に貼るシール		ウォールステッカー		2点：既成デザイン	https://www.amazon.co.jp/SMAOSTORE-%E3%81%BE%E3%81%9F-%E3%82%A6%E3%82%A9%E3%83%BC%E3%83%AB%E3%82%B9%E3%83%86%E3%83%83%E3%82%AB%E3%83%BC-%E3%83%9E%E3%83%83%E3%83%81%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC-%E3%82%A6%E3%82%A9%E3%83%BC%E3%83%AB%E3%82%B7%E3%83%BC%E3%83%AB/dp/B0D8L63PH2?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&ref_=fplfs&psc=1&smid=A2106STALVEKC8		4	5	3	3	8	3	44	44	C			3：新規資材が必要（設備の調整や治具の必要なし）
車用ドリンクホルダー				5点：Web deco			4	5	3	3	8	3	44	44	C			2：新規資材が必要（設備の調整や治具の必要あり）
部活バッグのミニチュア				2点：既成デザイン			4	4	3	4	8	5	44	44	C			1：新設備が必要or外注のみ
サウナマット				5点：Web deco			4	5	3	4	7	3	43	43	C			1：新設備が必要or外注のみ
レジャーシート				5点：Web deco			4	5	3	4	7	3	43	43	C			1：新設備が必要or外注のみ
サイン帳				5点：Web deco			4	4	3	4	8	4	43	43	C			2：新規資材が必要（設備の調整や治具の必要あり）
帽子型のピンズ							4	3	4	5	7	5	42	42	C			3：新規資材が必要（設備の調整や治具の必要なし）
バイクや車のメーター用シール				2点：既成デザイン	https://page.auctions.yahoo.co.jp/jp/auction/q1081539177		4	4	3	3	8	4	42	42	C			4：既存資材で作成可能（新しい作成方法あり）
ヒップフラスコ		スキンシール貼る		5点：Web deco			4	4	3	4	8	3	42	42	C			3：新規資材が必要（設備の調整や治具の必要なし）
洋服ブラシ				5点：Web deco			4	4	3	4	8	3	42	42	C			2：新規資材が必要（設備の調整や治具の必要あり）
爪楊枝（頭にまとめて印刷）				5点：Web deco	https://x.gd/hVbG7		4	4	3	4	8	3	42	42	C			2：新規資材が必要（設備の調整や治具の必要あり）
車の実寸タペストリー				5点：Web deco			4	4	3	4	8	3	42	42	C			1：新設備が必要or外注のみ
刺繍ボール				5点：Web deco			4	4	3	4	8	3	42	42	C			1：新設備が必要or外注のみ
ボンネットカバー				5点：Web deco			4	4	3	4	8	3	42	42	C	その他・不明・未定		1：新設備が必要or外注のみ
真鍮ステッカー（屋外にも貼れる）				2点：既成デザイン			4	4	3	4	8	3	42	42	C			1：新設備が必要or外注のみ
タスキ				5点：Web deco			4	4	3	4	7	4	42	42	C			2：新規資材が必要（設備の調整や治具の必要あり）
ドローン スキンシール				5点：Web deco			4	4	3	3	8	3	41	41	C			4：既存資材で作成可能（新しい作成方法あり）
道中財布（祭り用など）				5点：Web deco	https://x.gd/ZrLYe		4	4	3	5	6	4	41	41	C			2：新規資材が必要（設備の調整や治具の必要あり）
ゴルフのグリーンフォーク・ティーのセット				1点：デザイン無し			4	4	2	4	8	4	41	41	C			3：新規資材が必要（設備の調整や治具の必要なし）
マイナーな格闘技・武道ステッカー				2点：既成デザイン			4	3	3	3	8	4	40	40	C			5：既存資材で作成可能（新しい作成方法なし）
アスファルトに貼れるプリントシート					https://x.gd/OJ660		3	3	3	4	6	2	33	33	C			1：新設備が必要or外注のみ
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
