※プランに入れたら緑、発売したらグレー
新商品案		概要・仕様	想定ターゲット\nと使用シーン	デザイン自由度	参考商品1	参考商品2	購買意欲\n・ニーズ	ターゲット規模	競合\n優位性	高単価化\nしやすさ	通年性	推し活との相性	総合点\n（ウェイト付き）	総合点コピペ	ランク	エリア候補1	エリア候補2	生産方法があるか\n※SS～Aランクだけ人力で評価する。
オリジナルバスボール		オリジナル包装	販促・プチギフト	5点：Web deco			3	4	3	4	7	3	36	36	C	その他・不明・未定		1：新設備が必要or外注のみ
お風呂で勉強シート		世界地図、あいうえお、ABCなど		2点：既成デザイン	https://www.yodobashi.com/product/100000001006127746/		3	4	3	4	7	3	36	36	C	その他・不明・未定		1：新設備が必要or外注のみ
													36	36	C
ハンディファン・携帯扇風機			夏イベント・ライブ	5点：Web deco	https://francfranc.com/blogs/feature/frais-handyfan		3	4	3	4	4	3	33	33	C	アイコス		3：新規資材が必要（設備の調整や治具の必要なし）
使い捨てないカイロ		熱で剥がれないスキンシール	冬ギフト・販促	5点：Web deco	https://item.rakuten.co.jp/mottole-shop/mtl-e007/		3	4	3	4	4	3	33	33	C	UV一般		3：新規資材が必要（設備の調整や治具の必要なし）
アームカバー（復活）		UVカット・冷感	スポーツ・野外イベント	5点：Web deco			3	4	3	4	4	3	33	33	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
クールネック（+カバー）				5点：Web deco			3	4	3	4	4	3	33	33	C			2：新規資材が必要（設備の調整や治具の必要あり）
サウナハット				5点：Web deco			3	4	3	4	4	3	33	33	C			1：新設備が必要or外注のみ
サウナマット				5点：Web deco			3	4	3	4	4	3	33	33	C			1：新設備が必要or外注のみ
光るナンバープレートストラップ				3点：名入れ・画像カスタマイズ			2	3	6	4	7	1	31	31	C	UV一般		3：新規資材が必要（設備の調整や治具の必要なし）
車ワイパーステッカー				2点：既成デザイン	https://item.rakuten.co.jp/cosmevivi/car-082/		2	3	3	4	7	1	26	26	C	アイコス		5：既存資材で作成可能（新しい作成方法なし）
オリジナルデザインの寄せ書き土台		パズル、アクリルなど	送別・推しに渡す	5点：Web deco			2	3	3	4	7	1	26	26	C			4：既存資材で作成可能（新しい作成方法あり）
お名前シール		スタンダード	入園・入学準備	5点：Web deco			2	3	3	4	7	1	26	26	C	アイコス		4：既存資材で作成可能（新しい作成方法あり）
音声寄せ書きグッズ		NFC/QR利用	送別会・記念日	5点：Web deco			2	3	3	4	7	1	26	26	C			4：既存資材で作成可能（新しい作成方法あり）
海外ナンバープレート風グッズ				3点：名入れ・画像カスタマイズ			2	3	3	4	7	1	26	26	C	UV一般	グッズ	4：既存資材で作成可能（新しい作成方法あり）
寄せ書きタペストリー				5点：Web deco			2	3	3	4	7	1	26	26	C			4：既存資材で作成可能（新しい作成方法あり）
成長記録ポートレート用商品			月齢に印を置き、我が子を寝かせて撮影	2点：既成デザイン	https://www.amazon.co.jp/OMOTYA%E5%AF%9D%E7%9B%B8%E3%82%A2%E3%83%BC%E3%83%88-%E6%9C%88%E9%BD%A2%E3%83%95%E3%82%A9%E3%83%88%E3%82%B0%E3%83%83%E3%82%BA-%E6%9C%88%E9%BD%A2%E3%83%95%E3%82%A9%E3%83%88%E3%82%B7%E3%83%BC%E3%83%84-%E6%96%B0%E7%94%9F%E5%85%90%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88-%E5%AD%90%E3%81%A9%E3%82%82%E3%81%AE%E6%88%90%E9%95%B7%E3%81%AE%E8%A8%98%E9%8C%B2/dp/B08LMSYHYC?th=1		2	3	3	4	7	1	26	26	C	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
ドローン スキンシール				5点：Web deco			2	3	3	4	7	1	26	26	C			4：既存資材で作成可能（新しい作成方法あり）
ペットキャリー用スキンシール				5点：Web deco			2	3	3	4	7	1	26	26	C			4：既存資材で作成可能（新しい作成方法あり）
ゴルフボールスタンド		名入れ・ディスプレイ	ゴルフ記念・コンペ	5点：Web deco	https://wowma.jp/item/505474602?aff_id=PLA_m_401910		2	3	3	4	7	1	26	26	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
ゴルフドライバー用スキンシール				5点：Web deco			2	3	3	4	7	1	26	26	C			4：既存資材で作成可能（新しい作成方法あり）
車用スマホホルダー				5点：Web deco			2	3	3	4	7	1	26	26	C			4：既存資材で作成可能（新しい作成方法あり）
身長計（ウォールステッカー）			育児	2点：既成デザイン	https://store.shopping.yahoo.co.jp/pocchione/pa714137.html?sc_e=slga_fpla		2	3	3	4	7	1	26	26	C	アイコス		4：既存資材で作成可能（新しい作成方法あり）
自転車パーツに貼るシール				2点：既成デザイン			2	3	3	4	7	1	26	26	C			4：既存資材で作成可能（新しい作成方法あり）
バイクや車のメーター用シール				2点：既成デザイン	https://page.auctions.yahoo.co.jp/jp/auction/q1081539177		2	3	3	4	7	1	26	26	C			4：既存資材で作成可能（新しい作成方法あり）
キッズサイズＴシャツ		親子セットも		5点：Web deco			2	3	3	4	7	1	26	26	C	アイロン一般		3：新規資材が必要（設備の調整や治具の必要なし）
うちの子　毛玉入れ（可愛いのを仕入れ）		競合とデザイン差は出ない		2点：既成デザイン	https://www.instagram.com/kedamastudio/?igsh=MWh6ZzJieW5tZGoyMw%3D%3D#		2	3	3	4	7	1	26	26	C			3：新規資材が必要（設備の調整や治具の必要なし）
ゴルフのグリーンフォーク・ティーのセット				1点：デザイン無し			2	3	3	4	7	1	26	26	C			3：新規資材が必要（設備の調整や治具の必要なし）
ハートロック		推しと自分の名前を彫った南京錠		5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
バッグのハンドルカバー		推し色など		5点：Web deco	https://dshopping.docomo.ne.jp/products/1361141		2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
犬用バギーの名前プレート				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
選び札			1歳バースデー	5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
おむつポーチ				5点：Web deco			2	3	3	4	7	1	26	26	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
ウエディングドロップ				5点：Web deco	https://www.creema.jp/listing?q=%E3%82%A6%E3%82%A7%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%83%89%E3%83%AD%E3%83%83%E3%83%97%E3%82%B9		2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
乳歯・へその緒ケース		木製・アクリル名入れ	出産祝い・成長記録	5点：Web deco			2	3	3	4	7	1	26	26	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
ペット用クッション				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
名刺入れ		レザー		5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
ペット 骨壺/遺毛 カプセル・ペンダント・骨壺カバー				5点：Web deco			2	3	3	4	7	1	26	26	C	UV一般	アイコス	2：新規資材が必要（設備の調整や治具の必要あり）
箸置き		名入れ・ペア	結婚祝い・敬老の日	5点：Web deco			2	3	3	4	7	1	26	26	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
オリジナル将棋盤		孫の写真などのデザイン		5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
布用お名前シール		衣類用アイロン等	入園・入学準備	5点：Web deco			2	3	3	4	7	1	26	26	C	アイコス		2：新規資材が必要（設備の調整や治具の必要あり）
ゆのみ				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
ペットのエサ箱				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
ランドセルカバー				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
犬猫用ブラシ				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
赤ちゃん手形足形キャンバス				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
幼児用ポシェット		ハンカチ入れ等	通園・入園準備	5点：Web deco			2	3	3	4	7	1	26	26	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
カーマット				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
ふくさ				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
お昼寝セット				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
記念しゃもじ				5点：Web deco	https://shakushi.shop-pro.jp/?mode=grp&gid=2945391&sort=n		2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
犬猫用髪飾り				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
うちの子パーツグッズ		生首・お尻等	ペットオーナー	4点：フリーカット	https://www.creema.jp/item/16473189/detail		2	3	3	4	7	1	26	26	C	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
ベビー用マット		名入れ・デザイン	誕生・成長記録	5点：Web deco			2	3	3	4	7	1	26	26	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
ゴルフボールポーチ			ゴルフ・ギフト	5点：Web deco			2	3	3	4	7	1	26	26	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
ループ付きタオル		名前・イラスト	入園・入学・ベビー	5点：Web deco			2	3	3	4	7	1	26	26	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
カジノチップ ゴルフマーカー		競合とデザイン差は出ない		3点：名入れ・画像カスタマイズ			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
ゴルフ スコアカードホルダー				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
車用ドリンクホルダー				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
ゴルフクラブカバー				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
ゴルフシューズバッグ				5点：Web deco			2	3	3	4	7	1	26	26	C			2：新規資材が必要（設備の調整や治具の必要あり）
おむつプリント				5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
幼児がご飯を食べる時にかけるスタイ		洗ってすぐ乾く素材		5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
名入れスタイ				5点：Web deco			2	3	3	4	7	1	26	26	C	アイロン一般		1：新設備が必要or外注のみ
猫などのシルエット型のミラー				4点：フリーカット			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
オリジナル婚姻届・出生届		額付き		3点：名入れ・画像カスタマイズ			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
おくるみ				5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
カー用品　シートポケット				5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
上履き				5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
オーダーメイド絵本			出産・育児	3点：名入れ・画像カスタマイズ	https://mystella.me/ja		2	3	3	4	7	1	26	26	C	その他・不明・未定		1：新設備が必要or外注のみ
レッスンバック				5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
ペット服		名入れ・おそろい	ペットオーナー	5点：Web deco			2	3	3	4	7	1	26	26	C	その他・不明・未定		1：新設備が必要or外注のみ
ティーポット、ティーセット、コーヒー、抹茶				5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
ボンネットカバー				5点：Web deco			2	3	3	4	7	1	26	26	C	その他・不明・未定		1：新設備が必要or外注のみ
御朱印帳				5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
ベビー用ロンパース				5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
カーシェイド				5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
デカンタとグラスのセット				5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
花時計				2点：既成デザイン			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
ペットボトルクーラー/カバー				5点：Web deco			2	3	3	4	7	1	26	26	C	アイロン縫製		1：新設備が必要or外注のみ
車　座席シートカバー				5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
車　ハンドルカバー				5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
ベビーリュック				5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
ゴルフグローブ		刺繍		5点：Web deco	https://www.amazon.co.jp/dp/B00KGXSP3A		2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
ゴルフボールにキーホルダーパーツ差したやつ				5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
米のOEM		パッケージデザイン		5点：Web deco			2	3	3	4	7	1	26	26	C			1：新設備が必要or外注のみ
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
													0	0	C
